Threads,S0,K,r,sigma,T,N_steps,N_paths,Prix,Temps
1,100,100,0.05,0.2,1,50,10000,6.07636,0.302948
2,100,100,0.05,0.2,1,50,10000,6.22461,0.331494
4,100,100,0.05,0.2,1,50,10000,6.18365,0.287817
8,100,100,0.05,0.2,1,50,10000,6.20796,0.230408
16,100,100,0.05,0.2,1,50,10000,5.93546,0.234346
1,100,100,0.05,0.2,1,50,10000,6.11378,0.270973
2,100,100,0.05,0.2,1,50,10000,6.05517,0.300528
4,100,100,0.05,0.2,1,50,10000,6.05863,0.269813
8,100,100,0.05,0.2,1,50,10000,6.16235,0.234452
16,100,100,0.05,0.2,1,50,10000,6.09205,0.232481
1,100,100,0.05,0.2,1,50,50000,6.00403,1.44172
2,100,100,0.05,0.2,1,50,50000,6.0892,1.74066
4,100,100,0.05,0.2,1,50,50000,6.05391,1.47333
8,100,100,0.05,0.2,1,50,50000,6.05053,1.40607
16,100,100,0.05,0.2,1,50,50000,6.07516,1.30786
